trial_id,task,agent,run,prompt,api,input tokens,output,cost (usd),time,grader_count,benchmark_score,benchmark_not_applicable,percent_no_errors,percent_no_minor_errors
asymmetric_tensor_claude_run_0_prompt_0,Asymmetric tensor eigenvector partition,claude,0,0,False,726867,12771,0.7664814999999999,240.713,1,3.5,False,0.0,0.0
asymmetric_tensor_claude_run_1_prompt_0,Asymmetric tensor eigenvector partition,claude,1,0,False,606086,13687,0.4851721,163.53,1,5.0,False,0.0,0.0
asymmetric_tensor_claude_run_2_prompt_0,Asymmetric tensor eigenvector partition,claude,2,0,False,506044,13726,0.44214955,155.289,1,5.5,False,0.0,0.0
asymmetric_tensor_claude_run_3_prompt_0,Asymmetric tensor eigenvector partition,claude,3,0,False,1458613,13431,1.2438814000000002,407.368,1,4.5,False,0.0,0.0
asymmetric_tensor_codex_run_0_prompt_0,Asymmetric tensor eigenvector partition,codex,0,0,False,725203,5689,0.33400759999999996,80.7468,1,10,False,0.0,0.0
asymmetric_tensor_codex_run_1_prompt_0,Asymmetric tensor eigenvector partition,codex,1,0,False,1360908,9269,0.47736059999999997,262.33,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_2_prompt_0,Asymmetric tensor eigenvector partition,codex,2,0,False,502570,7274,0.24996140000000003,95.6313,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_3_prompt_0,Asymmetric tensor eigenvector partition,codex,3,0,False,436348,5043,0.22216160000000001,59.3331,1,5.0,False,0.0,0.0
asymmetric_tensor_claude_run_0_prompt_0_api,Asymmetric tensor eigenvector partition,claude,0,0,True,600344,3861,0.3383671,54.1636,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_1_prompt_0_api,Asymmetric tensor eigenvector partition,claude,1,0,True,452715,3674,0.28230445,48.2107,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_2_prompt_0_api,Asymmetric tensor eigenvector partition,claude,2,0,True,451628,3818,0.2877229,51.3511,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_3_prompt_0_api,Asymmetric tensor eigenvector partition,claude,3,0,True,502146,3840,0.30746789999999996,49.1233,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_0_prompt_0_api,Asymmetric tensor eigenvector partition,codex,0,0,True,670885,3026,0.28325540000000005,53.1546,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_1_prompt_0_api,Asymmetric tensor eigenvector partition,codex,1,0,True,322616,2516,0.1740556,35.9097,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_2_prompt_0_api,Asymmetric tensor eigenvector partition,codex,2,0,True,302266,4019,0.1659302,39.0568,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_3_prompt_0_api,Asymmetric tensor eigenvector partition,codex,3,0,True,291086,2944,0.1538668,42.4857,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_0_prompt_1,Asymmetric tensor eigenvector partition,claude,0,1,False,486172,10500,0.3851162,141.806,1,5.5,False,0.0,0.0
asymmetric_tensor_claude_run_1_prompt_1,Asymmetric tensor eigenvector partition,claude,1,1,False,495104,18923,0.5306402,212.321,1,5.0,False,0.0,0.0
asymmetric_tensor_claude_run_2_prompt_1,Asymmetric tensor eigenvector partition,claude,2,1,False,1656009,29377,1.13597885,374.251,1,5.5,False,0.0,0.0
asymmetric_tensor_claude_run_3_prompt_1,Asymmetric tensor eigenvector partition,claude,3,1,False,2078987,24658,1.2481185499999996,319.185,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_0_prompt_1,Asymmetric tensor eigenvector partition,codex,0,1,False,361209,6173,0.20537040000000004,70.7306,1,10.0,False,100.0,100.0
asymmetric_tensor_codex_run_1_prompt_1,Asymmetric tensor eigenvector partition,codex,1,1,False,437792,4741,0.21901,75.3435,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_2_prompt_1,Asymmetric tensor eigenvector partition,codex,2,1,False,1935721,10123,0.6356876000000001,144.488,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_3_prompt_1,Asymmetric tensor eigenvector partition,codex,3,1,False,347731,6319,0.2163392,73.7149,1,5.0,False,0.0,0.0
asymmetric_tensor_claude_run_0_prompt_1_api,Asymmetric tensor eigenvector partition,claude,0,1,True,399068,3691,0.26162885,51.9548,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_1_prompt_1_api,Asymmetric tensor eigenvector partition,claude,1,1,True,333844,3382,0.24811775,42.8104,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_2_prompt_1_api,Asymmetric tensor eigenvector partition,claude,2,1,True,462696,3870,0.29651764999999997,49.2594,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_3_prompt_1_api,Asymmetric tensor eigenvector partition,claude,3,1,True,461476,3883,0.29655105,48.5707,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_0_prompt_1_api,Asymmetric tensor eigenvector partition,codex,0,1,True,390049,2430,0.2047406,35.0141,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_1_prompt_1_api,Asymmetric tensor eigenvector partition,codex,1,1,True,253189,2081,0.131309,27.8464,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_2_prompt_1_api,Asymmetric tensor eigenvector partition,codex,2,1,True,231546,1732,0.1164654,24.9334,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_3_prompt_1_api,Asymmetric tensor eigenvector partition,codex,3,1,True,507363,2405,0.2267946,36.4695,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_0_prompt_2,Asymmetric tensor eigenvector partition,claude,0,2,False,547548,12294,0.41670594999999994,149.417,1,5.5,False,0.0,0.0
asymmetric_tensor_claude_run_1_prompt_2,Asymmetric tensor eigenvector partition,claude,1,2,False,392471,9242,0.31659309999999996,121.942,1,5.0,False,0.0,0.0
asymmetric_tensor_claude_run_2_prompt_2,Asymmetric tensor eigenvector partition,claude,2,2,False,4067362,32818,2.2574959000000003,480.366,1,10,False,0.0,0.0
asymmetric_tensor_claude_run_3_prompt_2,Asymmetric tensor eigenvector partition,claude,3,2,False,697134,6756,0.9246561999999999,289.887,1,4.5,False,0.0,0.0
asymmetric_tensor_codex_run_0_prompt_2,Asymmetric tensor eigenvector partition,codex,0,2,False,489059,6416,0.2392852,90.7675,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_1_prompt_2,Asymmetric tensor eigenvector partition,codex,1,2,False,539949,5725,0.2618136,75.5537,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_2_prompt_2,Asymmetric tensor eigenvector partition,codex,2,2,False,651381,4959,0.2873424,65.3636,1,5.0,False,0.0,0.0
asymmetric_tensor_codex_run_3_prompt_2,Asymmetric tensor eigenvector partition,codex,3,2,False,560176,7751,0.27417440000000004,83.8485,1,0.5,False,0.0,0.0
asymmetric_tensor_claude_run_0_prompt_2_api,Asymmetric tensor eigenvector partition,claude,0,2,True,595315,4009,0.33602695,65.6531,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_1_prompt_2_api,Asymmetric tensor eigenvector partition,claude,1,2,True,454037,4024,0.29051965,61.2854,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_2_prompt_2_api,Asymmetric tensor eigenvector partition,claude,2,2,True,549787,3784,0.3176944,120.125,1,10,False,100.0,100.0
asymmetric_tensor_claude_run_3_prompt_2_api,Asymmetric tensor eigenvector partition,claude,3,2,True,581828,2264,0.31927615,48.9753,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_0_prompt_2_api,Asymmetric tensor eigenvector partition,codex,0,2,True,318580,2953,0.16460539999999999,38.539,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_1_prompt_2_api,Asymmetric tensor eigenvector partition,codex,1,2,True,235826,2771,0.13422820000000002,34.4908,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_2_prompt_2_api,Asymmetric tensor eigenvector partition,codex,2,2,True,330003,3295,0.1662186,39.2773,1,10,False,100.0,100.0
asymmetric_tensor_codex_run_3_prompt_2_api,Asymmetric tensor eigenvector partition,codex,3,2,True,401813,1923,0.19157740000000004,27.6886,1,10,False,100.0,100.0
contour_tree_claude_run_0_prompt_0,Contour tree extraction,claude,0,0,False,993783,6366,0.5238264,117.246,1,10,False,0.0,0.0
contour_tree_claude_run_1_prompt_0,Contour tree extraction,claude,1,0,False,1090310,6454,0.5636268,135.961,1,10,False,0.0,0.0
contour_tree_claude_run_2_prompt_0,Contour tree extraction,claude,2,0,False,2007344,13399,1.01527505,375.707,1,10,False,0.0,0.0
contour_tree_claude_run_3_prompt_0,Contour tree extraction,claude,3,0,False,2624874,20258,1.3080465000000003,466.7,1,10,False,0.0,0.0
contour_tree_codex_run_0_prompt_0,Contour tree extraction,codex,0,0,False,756387,5160,0.3243492,81.7607,1,10,False,0.0,0.0
contour_tree_codex_run_1_prompt_0,Contour tree extraction,codex,1,0,False,707006,5866,0.2864662,106.542,1,10,False,0.0,0.0
contour_tree_codex_run_2_prompt_0,Contour tree extraction,codex,2,0,False,849466,5567,0.3606236,87.7764,1,10,False,0.0,0.0
contour_tree_codex_run_3_prompt_0,Contour tree extraction,codex,3,0,False,756375,4908,0.3236952,70.9114,1,10,False,0.0,0.0
contour_tree_claude_run_0_prompt_0_api,Contour tree extraction,claude,0,0,True,509816,4069,0.3322365499999999,53.8692,1,10,False,100.0,100.0
contour_tree_claude_run_1_prompt_0_api,Contour tree extraction,claude,1,0,True,662640,4586,0.36474290000000004,155.186,1,10,False,100.0,100.0
contour_tree_claude_run_2_prompt_0_api,Contour tree extraction,claude,2,0,True,403423,3702,0.26728725,134.33,1,10,False,0.0,0.0
contour_tree_claude_run_3_prompt_0_api,Contour tree extraction,claude,3,0,True,346010,3926,0.23933884999999996,135.297,1,10,False,0.0,0.0
contour_tree_codex_run_0_prompt_0_api,Contour tree extraction,codex,0,0,True,1716895,7336,0.5285534000000001,290.864,1,10,False,0.0,0.0
contour_tree_codex_run_1_prompt_0_api,Contour tree extraction,codex,1,0,True,1021242,4151,0.350715,170.944,1,10,False,0.0,0.0
contour_tree_codex_run_2_prompt_0_api,Contour tree extraction,codex,2,0,True,887584,4185,0.3404906,113.9,1,10,False,100.0,100.0
contour_tree_codex_run_3_prompt_0_api,Contour tree extraction,codex,3,0,True,897460,4460,0.3328958,140.042,1,10,False,0.0,0.0
contour_tree_claude_run_0_prompt_1,Contour tree extraction,claude,0,1,False,872935,4810,0.4631602999999999,93.6013,1,10,False,0.0,0.0
contour_tree_claude_run_1_prompt_1,Contour tree extraction,claude,1,1,False,502752,4161,0.28713269999999996,79.5849,1,10,False,0.0,0.0
contour_tree_claude_run_2_prompt_1,Contour tree extraction,claude,2,1,False,661147,4694,0.358619,94.1066,1,10,False,0.0,0.0
contour_tree_claude_run_3_prompt_1,Contour tree extraction,claude,3,1,False,1976794,13267,0.97700035,282.998,1,4,False,0.0,0.0
contour_tree_codex_run_0_prompt_1,Contour tree extraction,codex,0,1,False,789640,5543,0.30939320000000003,93.5805,1,10,False,0.0,0.0
